country,cases
Afghanistan,5
Albania,10
Algeria,20
Andorra,1
Argentina,17
Armenia,1
Australia,107
Austria,182
Azerbaijan,11
Bahrain,110
Bangladesh,3
Belarus,9
Belgium,267
Bhutan,1
Bosnia and Herzegovina,5
Brazil,31
Brunei,1
Bulgaria,4
Burkina Faso,1
Cambodia,2
Cameroon,2
Canada,79
Channel Islands,1
Chile,13
Colombia,3
Costa Rica,9
Croatia,14
Cyprus,3
Czech Republic,41
Denmark,262
Dominican Republic,5
Ecuador,15
Egypt,59
Estonia,12
Faroe Islands,2
Finland,40
France,1784
French Guiana,5
Georgia,15
Germany,1457
Gibraltar,1
Greece,89
Holy See,1
Hong Kong SAR,120
Hungary,9
Iceland,69
India,56
Indonesia,27
Iran (Islamic Republic of),8042
Iraq,71
Ireland,34
Israel,58
Italy,10149
Japan,581
Jordan,1
Kuwait,69
Latvia,8
Lebanon,41
Liechtenstein,1
Lithuania,1
Luxembourg,5
Macao SAR,10
Mainland China,80757
Malaysia,129
Maldives,6
Malta,5
Martinique,2
Mexico,7
Monaco,1
Mongolia,1
Morocco,3
Nepal,1
Netherlands,382
New Zealand,5
Nigeria,2
North Macedonia,7
Norway,400
Oman,18
Others,696
Pakistan,16
Panama,1
Paraguay,1
Peru,11
Philippines,33
Poland,22
Portugal,41
Qatar,24
Republic of Korea,7513
Republic of Moldova,3
Romania,25
Russian Federation,10
Saint Barthelemy,1
Saint Martin,2
San Marino,51
Saudi Arabia,20
Senegal,4
Serbia,5
Singapore,160
Slovakia,7
Slovenia,31
South Africa,7
Spain,1695
Sri Lanka,1
Sweden,355
Switzerland,491
Taipei and environs,47
Thailand,53
Togo,1
Tunisia,5
UK,382
US,959
Ukraine,1
United Arab Emirates,74
Viet Nam,31
occupied Palestinian territory,25
